\supdsub ⫘
\maltese ✠
\dottedcircle ◌
\mttN 𝙽
\leftthreearrows \u2b31
\emptysetocirc ⦲
\forksnot ⫝
\mbfphi 𝛟
\NestedLessLess ⪡
\squarenwsefill ▧
\pluto ♇
\mbfitsansRho 𝞠
\lsime ⪍
\mitlambda 𝜆
\lsimg ⪏
\Bbbfour 𝟜
\mbfsansGamma 𝝘
\plussubtwo ⨧
\dashleftharpoondown ⥫
\mitsigma 𝜎
\mbfitUpsilon 𝜰
\clubsuit ♣
\mbfsanssix 𝟲
\danger ☡
\mbfitpi 𝝅
\oe œ
\Sigma Σ
\mbfitsansSigma 𝞢
\mttfive 𝟻
\llarc ◟
\mttK 𝙺
\geqslant ⩾
\mdwhtlozenge \u2b28
\Omega Ω
\mbfUpsilon 𝚼
\mbfitsansIota 𝞘
\mfrakS 𝔖
\mdsmwhtcircle \u26ac
\mbfitsansmu 𝞵
\blacktriangle ▴
\niobar ⋾
\mitPhi 𝛷
\mbfsansbeta 𝝱
\LeftDownVectorBar ⥙
\leftarrow ←
\nvtwoheadleftarrow \u2b34
\nleqslant ⩽̸
\guilsinglleft ‹
\napprox ≉
\invnot ⌐
\bigoplus ⨁
\DDownarrow ⟱
\cdots ⋯
\cdotp ·
\rvboxline ⎹
\quad  
\swarrow ↙
\_gamma ᵧ
\twoheaduparrowcircle ⥉
\Yup ⅄
\lessgtr ≶
\mbfitRho 𝜬
\mbfIota 𝚰
\lneqq ≨
\otimesrhrim ⨵
\mbfitsansomicron 𝞸
\ElzOr ⩔
\mbfitsanstheta 𝞱
\mbfseven 𝟕
\backppprime ‷
\circledrightdot ⚆
\csupe ⫒
\underleftarrow \u20ee
\BbbM 𝕄
\urblacktriangle ◥
\mbfr 𝐫
\mbfs 𝐬
\mbfp 𝐩
\mbfq 𝐪
\mbfv 𝐯
\mbfw 𝐰
\mbft 𝐭
\mbfu 𝐮
\mbfz 𝐳
\mbfx 𝐱
\carriagereturn ↵
\twoheadrightarrow ↠
\mbfb 𝐛
\mbfc 𝐜
\mbfa 𝐚
\mbff 𝐟
\mbfg 𝐠
\mbfd 𝐝
\mbfe 𝐞
\mbfj 𝐣
\mbfk 𝐤
\mbfh 𝐡
\mbfi 𝐢
\mbfn 𝐧
\mbfo 𝐨
\mbfl 𝐥
\varsigma ς
\mbfR 𝐑
\mbfS 𝐒
\mbfP 𝐏
\mbfQ 𝐐
\mbfV 𝐕
\mbfW 𝐖
\mbfT 𝐓
\mbfU 𝐔
\mbfZ 𝐙
\mbfX 𝐗
\mbfY 𝐘
\mbfitsansPhi 𝞥
\Succ ⪼
\mbfB 𝐁
\mbfC 𝐂
\ddots ⋱
\mbfA 𝐀
\mbfF 𝐅
\mbfG 𝐆
\mbfD 𝐃
\NotLessLess ≪̸
\mbfJ 𝐉
\mbfK 𝐊
\llbracket ⟦
\mbfI 𝐈
\mbfN 𝐍
\mbfO 𝐎
\mbfL 𝐋
\mbfM 𝐌
\mitsanst 𝘵
\trianglecdot ◬
\mitsansv 𝘷
\diceiv ⚃
\mitsansp 𝘱
\mitsansq 𝘲
\mitsansr 𝘳
\mitsanss 𝘴
\leftrightharpoons ⇋
\mitsansx 𝘹
\mitsansy 𝘺
\mitsansz 𝘻
\mitsansd 𝘥
\mitsanse 𝘦
\mitsansf 𝘧
\mitsansg 𝘨
\mitsansa 𝘢
\mitsansb 𝘣
\mitsansc 𝘤
\mitsansl 𝘭
\mitsansm 𝘮
\mitsansn 𝘯
\mitsanso 𝘰
\mitsansh 𝘩
\mitsansi 𝘪
\mitsansj 𝘫
\mitsansk 𝘬
\mitsansT 𝘛
\mitsansU 𝘜
\mitsansV 𝘝
\mitsansW 𝘞
\lesdoto ⪁
\mitsansQ 𝘘
\mitsansR 𝘙
\mitsansS 𝘚
\measuredangle ∡
\mitsansX 𝘟
\mitsansY 𝘠
\mitsansZ 𝘡
\mitsansD 𝘋
\mitsansE 𝘌
\mitsansF 𝘍
\mitsansG 𝘎
\mitsansA 𝘈
\mitsansB 𝘉
\mitsansC 𝘊
\mitsansL 𝘓
\mitsansM 𝘔
\mitsansN 𝘕
\mitsansO 𝘖
\mitsansH 𝘏
\mitsansI 𝘐
\mitsansJ 𝘑
\mitsansK 𝘒
\backsim ∽
\curlyvee ⋎
\botsemicircle ◡
\mbfitsansbeta 𝞫
\accurrent \u23e6
\Elzpscrv ʋ
\image ⊷
\ElzrLarr ⥄
\bigsqcap ⨅
\mfrakh 𝔥
\mbfitsansalpha 𝞪
\mapsup ↥
\sqrint ⨖
\Delta Δ
\ncong ≇
\searrow ↘
\circleonleftarrow \u2b30
\mbfepsilon 𝛆
\approxeqq ⩰
\Coloneq ⩴
\mbfsansV 𝗩
\nVtwoheadrightarrow ⤁
\mbfthree 𝟑
\spadesuit ♠
\_phi ᵩ
\llcorner ⌞
\mbfsansnine 𝟵
\blackcircledtwodots ⚉
\mbfitsansv 𝙫
\squoval ▢
\boxcircle ⧇
\upuparrows ⇈
\mbfitsansw 𝙬
\upMu Μ
\Elzpgamma ɣ
\urtriangle ◹
\Bbbtwo 𝟚
\upwhitearrow ⇧
\mbfsansI 𝗜
\lessdot ⋖
\mbfsansM 𝗠
\textordmasculine º
\oplus ⊕
\circledequal ⊜
\neovnwarrow ⤱
\Planckconst ℎ
\lozenge ◊
\fdiagovnearrow ⤯
\Rsh ↱
\Elzsqspne ⋥
\mbfitsansvarkappa 𝟆
\gesles ⪔
\mitphi 𝜑
\rtimes ⋊
\odotslashdot ⦼
\odiv ⨸
\blocklefthalf ▌
\subsup ⫓
\succnapprox ⪺
\bigwhitestar ☆
\BbbB 𝔹
\opluslhrim ⨭
\dot ̇
\mbfGamma 𝚪
\nwovnearrow ⤲
\vartriangle ▵
\Zeta Ζ
\upharpoonright ↿
\varveebar ⩡
\circ ∘
\mbfitrho 𝝆
\BbbPi ℿ
\female ♀
\BbbJ 𝕁
\closedvarcupsmashprod ⩐
\BbbH ℍ
\Elzclomeg ɷ
\th þ
\doteq ≐
\mbfittheta 𝜽
\upOmicron Ο
\sterling £
\mbfsansh 𝗵
\BbbL 𝕃
\flat ♭
\^gamma ᵞ
\downdasharrow ⇣
\subsub ⫕
\dashrightharpoondown ⥭
\BbbR ℝ
\hslash ℏ
\Sqcap ⩎
\BbbU 𝕌
\npolint ⨔
\BbbT 𝕋
\mlcp ⫛
\LeftTeeVector ⥚
\measangledrtose ⦮
\Elroang ⦆
\mitvarsigma 𝜍
\rightleftarrows ⇄
\Pi Π
\wideangledown ⦦
\mapsto ↦
\nleftarrow ↚
\vardoublebarwedge ⌆
\csub ⫏
\Bbbg 𝕘
\mbfsansL 𝗟
\imath \U1d6a4
\timesbar ⨱
\gtcc ⪧
\BbbGamma ℾ
\csup ⫐
\blockhalfshaded ▒
\upvarbeta ϐ
\RightDownVectorBar ⥕
\square □
\ddot ̈
\mbfitvarkappa 𝝒
\Eta Η
\mdwhtcircle \u26aa
\underrightharpoondown \u20ec
\mbfnine 𝟗
\diceiii ⚂
\mbfTheta 𝚯
\rangle ⟩
\eqqplus ⩱
\NotNestedLessLess ⪡̸
\Bbbo 𝕠
\mbfsansIota 𝝞
\mbfsansvarsigma 𝞁
\mttseven 𝟽
\geqqslant ⫺
\mbfsansSigma 𝝨
\UUparrow ⟰
\mitMu 𝛭
\openbracketleft ⟦
\ElzLap ⧊
\between ≬
\varcarriagereturn ⏎
\revangle ⦣
\Bbbw 𝕨
\nasymp ≭
\leftdbkarrow ⤎
\bar ̄
\mitEta 𝛨
\mbfsansone 𝟭
\leftarrowbsimilar \u2b4b
\mbfitsanschi 𝟀
\supseteq ⊇
\scurel ⊱
\leftrightharpoonsdown ⥧
\equivDD ⩸
\mbfitvartheta 𝝑
\Elzlmrk ː
\bagmember ⋿
\mbfSigma 𝚺
\blackpointerright ►
\lrblacktriangle ◢
\gimel ℷ
\Elzdefas ⧋
\mbfitOmega 𝜴
\Gamma Γ
\circledS Ⓢ
\circledR ®
\lnsim ⋦
\mbfPhi 𝚽
\textphi ɸ
\mbfitsansvarepsilon 𝟄
\mscrV 𝒱
\mbfitsansZeta 𝞕
\sqcup ⊔
\mitvarphi 𝜙
\barovernorthwestarrow ↸
\squarehvfill ▦
\supedot ⫄
\isindot ⋵
\mbfRho 𝚸
\leftbkarrow ⤌
\propto ∝
\sharp ♯
\digamma ϝ
\uparrow ↑
\mbfone 𝟏
\mbfsanseta 𝝶
\veeeq ≚
\in ∈
\overleftarrow ⃖
\mbfsansv 𝘃
\varointclockwise ∲
\squarelrquad ◲
\nmid ∤
\wideangleup ⦧
\mbfsansy 𝘆
\eta η
\mbfitlambda 𝝀
\eth ð
\supsetneqq ⫌
\urcorner ⌝
\mbfsansvarepsilon 𝞊
\Longmapsfrom ⟽
\barrightarrowdiamond ⤠
\mbfsansx 𝘅
\nwarrow ↖
\mbfitsansOmega 𝞨
\mitomicron 𝜊
\Kappa Κ
\boxminus ⊟
\mbfitsansL 𝙇
\turnangle ⦢
\mbfitsanstau 𝞽
\hexagonblack \u2b23
\mbflambda 𝛌
\smallni ∍
\textquestiondown ¿
\trianglerighteq ⊵
\Supset ⋑
\therefore ∴
\wedgemidvert ⩚
\squareurblack \u2b14
\mitnu 𝜈
\mbfrho 𝛒
\subsetneqq ⫋
\eqless ⋜
\nvrightarrowtail ⤔
\lescc ⪨
\eqdot ⩦
\ominus ⊖
\mitIota 𝛪
\rightwavearrow ↝
\mbfitXi 𝜩
\suphsol \u27c9
\upsampi ϡ
\turnednot ⌙
\Vvert ⦀
\twocups ⩊
\mitvarepsilon 𝜖
\disjquant ⨈
\neuter \u26b2
\succ ≻
\varisins ⋳
\underleftharpoondown \u20ed
\mitRho 𝛲
\mbfsansvarrho 𝞎
\subsetapprox ⫉
\downarrowbarred ⤈
\Ldsh ↲
\because ∵
\mbfitChi 𝜲
\nvleftarrow ⇷
\Elzdlcorn ⎣
\mbfitvarsigma 𝝇
\neptune ♆
\mfrakA 𝔄
\plushat ⨣
\commaminus ⨩
\daleth ℸ
\miteta 𝜂
\mbfitsansChi 𝞦
\rightsquigarrow ⇝
\bullseye ◎
\rceil ⌉
\circlelrquad ◶
\mbfitsansdelta 𝞭
\upint ⨛
\lvertneqq ≨︀
\circledstar ✪
\bigodot ⨀
\mbfKappa 𝚱
\circlellquad ◵
\mitXi 𝛯
\mitDelta 𝛥
\mbfitTau 𝜯
\LeftUpDownVector ⥑
\ggg ⋙
\rightleftharpoons ⇌
\preceqq ⪳
\intBar ⨎
\bigslopedwedge ⩘
\mbfitNu 𝜨
\dottedsquare \u2b1a
\mbfpartial 𝛛
\msanstwo 𝟤
\BbbA 𝔸
\leftrightharpoonsup ⥦
\pprime ″
\lesseqgtr ⋚
\bigblacktriangleup ▲
\subsim ⫇
\Rightarrow ⇒
\ulcorner ⌜
\mbfsansvarTheta 𝝧
\mbfitsansXi 𝞝
\updownharpoonleftright ⥍
\gtcir ⩺
\Chi Χ
\mbfitsansvarpi 𝟉
\ntrianglerighteq ⋭
\texthvlig ƕ
\mbfLambda 𝚲
\conictaper ⌲
\Elzbar ̶
\downharpoonleft ⇃
\underleftrightarrow ͍
\Bbbfive 𝟝
\mbfsansk 𝗸
\late ⪭
\APLboxupcaret ⍓
\nolinebreak \u2060
\dj đ
\lowint ⨜
\mbfitsanssigma 𝞼
\hkswarow ⤦
\nsupseteqq ⫆̸
\Elzsqfl ◧
\exists ∃
\leqslant ⩽
\modtwosum ⨊
\Elzsqfr ◨
\ringplus ⨢
\geqq ≧
\simgE ⪠
\textquotedblleft “
\Epsilon Ε
\dualmap ⧟
\openbracketright ⟧
\mbfitsansTau 𝞣
\tosa ⤩
\intbar ⨍
\leftrightsquigarrow ↭
\backsimeq ⋍
\cancer ♋
\mitLambda 𝛬
\inversewhitecircle ◙
\mitTheta 𝛩
\mapsfrom ↤
\multimap ⊸
\mttthree 𝟹
\NotSquareSuperset ⊐̸
\blacksmiley ☻
\nvDash ⊭
\Elzrais ˔
\mid ∣
\APLboxquestion ⍰
\nleq ≰
\mfraku 𝔲
\leftharpoondown ↽
\guilsinglright ›
\mitS 𝑆
\mitR 𝑅
\mitQ 𝑄
\mbfy 𝐲
\mitW 𝑊
\mitV 𝑉
\mitU 𝑈
\mitT 𝑇
\mitZ 𝑍
\mitY 𝑌
\mitX 𝑋
\mbfvarTheta 𝚹
\msansthree 𝟥
\mitC 𝐶
\mitB 𝐵
\mitA 𝐴
\mitG 𝐺
\mitF 𝐹
\mitE 𝐸
\mitD 𝐷
\mitK 𝐾
\mitJ 𝐽
\mitI 𝐼
\mitH 𝐻
\mitO 𝑂
\mitN 𝑁
\mitM 𝑀
\mitL 𝐿
\mits 𝑠
\mitr 𝑟
\mitq 𝑞
\bigtriangleup △
\mitw 𝑤
\mitv 𝑣
\mitu 𝑢
\mitt 𝑡
\mitz 𝑧
\mity 𝑦
\mitx 𝑥
\mbfitsansnu 𝞶
\Iota Ι
\mitb 𝑏
\mita 𝑎
\mitg 𝑔
\mitf 𝑓
\mite 𝑒
\mitd 𝑑
\mitk 𝑘
\mitj 𝑗
\smwhtsquare ▫
\mito 𝑜
\mitn 𝑛
\mitm 𝑚
\mitl 𝑙
\varsupsetneq ⊋︀
\mbfitPhi 𝜱
\mitvartheta 𝜗
\leo ♌
\textexclamdown ¡
\mfrakp 𝔭
\pointint ⨕
\divideontimes ⋇
\blackcircleulquadwhite ◕
\nis ⋼
\lazysinv ∾
\succnsim ⋩
\mbfitvarpi 𝝕
\uparrowbarred ⤉
\mitChi 𝛸
\Re ℜ
\nearrow ↗
\surd √
\hatapprox ⩯
\mbfm 𝐦
\subsetplus ⪿
\mitPsi 𝛹
\circleurquadblack ◔
\upepsilon ε
\vysmblksquare \u2b1d
\^theta ᶿ
\ularc ◜
\rightouterjoin ⟖
\minusfdots ⨫
\mbfpi 𝛑
\mitbeta 𝛽
\mitKappa 𝛫
\^7 ⁷
\lesdotor ⪃
\curvearrowleft ↶
\angles ⦞
\upNu Ν
\mitiota 𝜄
\textnumero №
\ElzRlarr ⥂
\RightVectorBar ⥓
\mbfittau 𝝉
\succsim ≿
\Stigma Ϛ
\midbarvee ⩝
\coprod ∐
\varisinobar ⋶
\simminussim ⩬
\msansone 𝟣
\models ⊧
\supsetneq ⊋
\nBumpeq ≎̸
\mbfE 𝐄
\nVrightarrowtail ⤕
\conjquant ⨇
\leftarrowbackapprox \u2b42
\prec ≺
\mbfH 𝐇
\mbfscrB 𝓑
\aleph ℵ
\gnsim ⋧
\sqsupset ⊐
\linefeed ↴
\twoheadleftarrowtail \u2b3b
\plussim ⨦
\preccurlyeq ≼
\intprodr ⨽
\NotRightTriangleBar ⧐̸
\textperthousand ‰
\mitsansw 𝘸
\nparallel ∦
\Upsilon Υ
\alpha α
\mbfMu 𝚳
\whitearrowupfrombar ⇪
\widebridgeabove ⃩
\mapsdown ↧
\capwedge ⩄
\amalg ⨿
\leftthreetimes ⋋
\preceq ⪯
\ltcir ⩹
\mbfitsansMu 𝞛
\Lsh ↰
\mittheta 𝜃
\mtttwo 𝟸
\Elzpbgam ɤ
\uplus ⊎
\arceq ≘
\dicevi ⚅
\textthreequarters ¾
\parallelogramblack ▰
\approxeq ≊
\Elzbtdl ɬ
\mbfsanspsi 𝞇
\simgtr ⪞
\ngtrsim ≵
\circledcirc ⊚
\tieconcat ⁀
\mfrakc 𝔠
\wr ≀
\wp ℘
\fisheye ◉
\Sampi Ϡ
\mttzero 𝟶
\rightarrowsupset \u2b44
\mttsix 𝟼
\gtrless ≷
\bbsum ⅀
\sqcap ⊓
\leqq ≦
\nequiv ≢
\nsubseteq ⊈
\leftrightarrows ⇆
\nVtwoheadleftarrow \u2b35
\mitsansP 𝘗
\nexists ∄
\Elztrnmlr ɰ
\grave ̀
\blkhorzoval \u2b2c
\dashv ⊣
\nRightarrow ⇏
\fullouterjoin ⟗
\Elzsqfse ◪
\triangletimes ⨻
\mbfsanstau 𝞃
\eqcolon ≕
\mbfsansEta 𝝜
\smblkdiamond \u2b29
\leftarrowapprox \u2b4a
\mitOmicron 𝛰
\mttfour 𝟺
\sphericalangleup ⦡
\varkappa ϰ
\rdiagovfdiag ⤫
\nleftrightarrow ↮
\mbfsansomicron 𝝾
\dsol ⧶
\squareurquad ◳
\wedgedot ⟑
\drbkarrow ⤐
\mitchi 𝜒
\rightharpoonupdash ⥬
\Bbbone 𝟙
\mho ℧
\blacktriangleright ▶
\DownLeftRightVector ⥐
\tona ⤧
\bsolhsub \u27c8
\sinewave ∿
\mbfsansPsi 𝝭
\AE Æ
\AA Å
\barcup ⩂
\downwhitearrow ⇩
\lesdot ⩿
\updasharrow ⇡
\Game ⅁
\nsim ≁
\postalmark 〒
\underbar ̲
\dingasterisk ✽
\vysmblkcircle ∙
\textturnk ʞ
\Elzreapos ‛
\lrtriangleeq ⧡
\theta θ
\mitSigma 𝛴
\mfrakT 𝔗
\mfrakU 𝔘
\mfrakV 𝔙
\mfrakW 𝔚
\mfrakP 𝔓
\mfrakQ 𝔔
\rightanglearc ⊾
\mfrakX 𝔛
\mfrakY 𝔜
\mfrakZ ℨ
\mfrakD 𝔇
\mfrakE 𝔈
\mfrakF 𝔉
\mfrakG 𝔊
\ngeq ≱
\mfrakB 𝔅
\mfrakC ℭ
\mfrakL 𝔏
\mfrakM 𝔐
\mfrakN 𝔑
\mfrakO 𝔒
\mfrakH ℌ
\mfrakJ 𝔍
\mfrakK 𝔎
\mfrakt 𝔱
\leftarrowonoplus \u2b32
\mfrakv 𝔳
\mfrakw 𝔴
\npreccurlyeq ⋠
\mfrakq 𝔮
\mfrakr 𝔯
\mfraks 𝔰
\mbfsanschi 𝞆
\vertoverlay ⃒
\mfrakx 𝔵
\mfraky 𝔶
\mfrakz 𝔷
\mbfsansthree 𝟯
\mfrakd 𝔡
\mfrake 𝔢
\mfrakf 𝔣
\mfrakg 𝔤
\diceii ⚁
\mfraka 𝔞
\mfrakb 𝔟
\_beta ᵦ
\mfrakl 𝔩
\mfrakm 𝔪
\mfrakn 𝔫
\mfrako 𝔬
\wedgeonwedge ⩕
\mfraki 𝔦
\mfrakj 𝔧
\mfrakk 𝔨
\mbfsansQ 𝗤
\mbfsansP 𝗣
\mbfsansS 𝗦
\mbfsansR 𝗥
\mbfsansU 𝗨
\mbfsansT 𝗧
\mbfsansW 𝗪
\mbfscrt 𝓽
\mbfsansY 𝗬
\mbfsansX 𝗫
\mbfsansZ 𝗭
\smalltriangleright ▹
\mbfsansA 𝗔
\mbfsansC 𝗖
\mbfsansB 𝗕
\mbfsansE 𝗘
\mbfsansD 𝗗
\mbfsansG 𝗚
\mbfsansF 𝗙
\Nwarrow ⇖
\mbfsansH 𝗛
\mbfsansK 𝗞
\mbfsansJ 𝗝
\frown ⌢
\leftrightarrow ↔
\mbfsansO 𝗢
\mbfsansN 𝗡
\mbfsansq 𝗾
\mbfsansp 𝗽
\mbfsanss 𝘀
\mbfsansr 𝗿
\mbfsansu 𝘂
\mbfsanst 𝘁
\mbfsansw 𝘄
\boxplus ⊞
\veemidvert ⩛
\textnrleg ƞ
\mbfsansz 𝘇
\varhexagon \u2b21
\mbfsansa 𝗮
\mbfsansc 𝗰
\mbfsansb 𝗯
\mbfsanse 𝗲
\mbfsansd 𝗱
\mbfsansg 𝗴
\mbfsansf 𝗳
\mbfsansi 𝗶
\squareulblack ◩
\rightarrowbar ⇥
\bbrktbrk ⎶
\mbfsansm 𝗺
\mbfsansl 𝗹
\mbfsanso 𝗼
\mbfsansn 𝗻
\mbfscry 𝔂
\mbfitalpha 𝜶
\iiint ∭
\Elztesh ʧ
\lesges ⪓
\Eulerconst ℇ
\textvisiblespace ␣
\mbfitEpsilon 𝜠
\csube ⫑
\enspace  
\mbfscrc 𝓬
\wedgeq ≙
\mitvarpi 𝜛
\epsilon ϵ
\mbfomega 𝛚
\mbfPi 𝚷
\triangleplus ⨹
\bigcap ⋂
\mbfscrn 𝓷
\texttrademark ™
\mitGamma 𝛤
\nVtwoheadleftarrowtail \u2b3d
\mbfitsansvartheta 𝟅
\scpolint ⨓
\ast ∗
\msansfive 𝟧
\rrbracket ⟧
\diamond ⋄
\mbfsansChi 𝝬
\Bbbpi \u213c
\smile ⌣
\libra ♎
\Elzrttrnr ɻ
\ddagger ‡
\simeq ≃
\Elzverti ˌ
\mbfscrS 𝓢
\mbfBeta 𝚩
\lvboxline ⎸
\textonequarter ¼
\mdlgblkcircle ●
\smallblacktriangleright ▸
\mbfitMu 𝜧
\nprec ⊀
\ElzAnd ⩓
\varhexagonblack \u2b22
\Elzverts ˈ
\nVDash ⊯
\RuleDelayed ⧴
\mbfscrY 𝓨
\mbfitsansAlpha 𝞐
\mbftwo 𝟐
\bigtriangledown ▽
\copyright ©
\Beta Β
\iint ∬
\squarellblack \u2b15
\leftharpoonupdash ⥪
\precneqq ⪵
\rsolbar ⧷
\mbfnu 𝛎
\Otimes ⨷
\leftharpoonaccent ⃐
\pm ±
\leftarrowtail ↢
\pi π
\Elzpes ₧
\bigwedge ⋀
\updownarrowbar ↨
\invwhitelowerhalfcircle ◛
\mitpartial 𝜕
\Elzxrat ℞
\mbfitsansLambda 𝞚
\twoheadmapsfrom \u2b36
\lsqhook ⫍
\Sqcup ⩏
\mbfscru 𝓾
\bumpeq ≏
\mbfscrw 𝔀
\mbfscrv 𝓿
\mbfscrq 𝓺
\mbfscrp 𝓹
\mbfscrs 𝓼
\mbfscrr 𝓻
\mbfitsansnabla 𝞩
\gtreqless ⋛
\measanglelutonw ⦩
\mbfscrx 𝔁
\mbfscrz 𝔃
\mbfscre 𝓮
\mbfscrd 𝓭
\mbfscrg 𝓰
\mbfscrf 𝓯
\mbfscra 𝓪
\triangleleft ◁
\mbfscrb 𝓫
\mbfscrm 𝓶
\mbfscrl 𝓵
\mbfscro 𝓸
\ntrianglelefteq ⋬
\mbfscri 𝓲
\mbfscrh 𝓱
\mbfscrk 𝓴
\mbfscrj 𝓳
\mbfscrU 𝓤
\mbfscrT 𝓣
\mbfscrW 𝓦
\mbfscrV 𝓥
\mbfscrQ 𝓠
\mbfscrP 𝓟
\Elzesh ʃ
\mbfscrR 𝓡
\triangleright ▷
\^Phi ᶲ
\lgE ⪑
\mbfscrX 𝓧
\mbfscrZ 𝓩
\mbfscrE 𝓔
\mbfscrD 𝓓
\mbfscrG 𝓖
\mbfscrF 𝓕
\mbfscrA 𝓐
\bigslopedvee ⩗
\del ∇
\mbfscrM 𝓜
\mbfscrL 𝓛
\mbfscrO 𝓞
\mbfscrN 𝓝
\mbfscrI 𝓘
\mbfscrH 𝓗
\mbfscrK 𝓚
\mbfscrJ 𝓙
\isinE ⋹
\mitmu 𝜇
\squarebotblack \u2b13
\textasciimacron ¯
\smallblacktriangleleft ◂
\emptysetoarrl ⦴
\prurel ⊰
\eqsim ≂
\varepsilon ɛ
\isins ⋴
\Elzsqfnw ┙
\dbkarow ⤏
\intcap ⨙
\measanglerdtose ⦪
\closedvarcup ⩌
\gsiml ⪐
\threeunderdot ⃨
\triangleminus ⨺
\gsime ⪎
\times ×
\nvRightarrow ⤃
\barleftarrow ⇤
\lrcorner ⌟
\rightharpoonsupdown ⥤
\nbumpeq ≏̸
\elinters \u23e7
\acidfree \u267e
\mbfitsansb 𝙗
\mbfitsansc 𝙘
\mbfitsansa 𝙖
\mbfitsansf 𝙛
\mbfitsansg 𝙜
\mbfitsansd 𝙙
\mbfitsanse 𝙚
\mbfitsansj 𝙟
\mbfitsansk 𝙠
\mbfitsansh 𝙝
\mbfitsansi 𝙞
\mbfitsansn 𝙣
\mbfitsanso 𝙤
\mbfitsansl 𝙡
\mbfitsansm 𝙢
\mbfitsansr 𝙧
\mbfitsanss 𝙨
\mbfitsansp 𝙥
\mbfitsansq 𝙦
\pisces ♓
\fltns \u23e5
\mbfitsanst 𝙩
\mbfitsansu 𝙪
\mbfitsansz 𝙯
\mbfitsansx 𝙭
\mbfitsansy 𝙮
\Rdsh ↳
\^delta ᵟ
\mbfitsansB 𝘽
\mbfitsansC 𝘾
\mbfitsansA 𝘼
\mbfitsansF 𝙁
\equalleftarrow \u2b40
\mbfitsansD 𝘿
\mbfitsansE 𝙀
\mbfitsansJ 𝙅
\mbfitsansK 𝙆
\enclosediamond ⃟
\mbfitsansI 𝙄
\mbfitsansN 𝙉
\mbfitsansO 𝙊
\biguplus ⨄
\mbfitsansM 𝙈
\mbfitsansR 𝙍
\mbfitsansS 𝙎
\mbfitsansP 𝙋
\mbfitsansQ 𝙌
\mbfitsansV 𝙑
\mbfitsansW 𝙒
\mbfitsansT 𝙏
\mbfitsansU 𝙐
\mbfitsansZ 𝙕
\mbfitsansX 𝙓
\mbfitsansY 𝙔
\diamondsuit ♢
\mitvarrho 𝜚
\acute ́
\gvertneqq ≩︀
\UpArrowBar ⤒
\nisd ⋺
\varhexagonlrbonds ⌬
\vartheta ϑ
\trianglelefteq ⊴
\awint ⨑
\langle ⟨
\blkvertoval \u2b2e
\gemini ♊
\smt ⪪
\vdash ⊢
\msansc 𝖼
\msansb 𝖻
\msansa 𝖺
\msansg 𝗀
\msansf 𝖿
\msanse 𝖾
\msansd 𝖽
\msansk 𝗄
\msansj 𝗃
\msansi 𝗂
\msansh 𝗁
\msanso 𝗈
\msansn 𝗇
\msansm 𝗆
\msansl 𝗅
\leftrightharpoonupdown ⥊
\msansr 𝗋
\msansq 𝗊
\precsim ≾
\msansw 𝗐
\msansv 𝗏
\msansu 𝗎
\msanst 𝗍
\msansz 𝗓
\msansy 𝗒
\msansx 𝗑
\msansC 𝖢
\msansB 𝖡
\msansA 𝖠
\rfloor ⌋
\msansG 𝖦
\msansF 𝖥
\msansE 𝖤
\msansD 𝖣
\msansK 𝖪
\msansJ 𝖩
\msansI 𝖨
\msansH 𝖧
\blacksquare ■
\succapprox ⪸
\msansM 𝖬
\msansL 𝖫
\msansS 𝖲
